O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
270.51193,268.09113,257.57059,253.16861,248.20778,239.88113,7.11106,10.2739,12.96131,13.98164,16.45043,18.70669,0.62278,0.80592,0.91158,0.94655,1.08438,1.21851,1.56809,2.50682,3.67233,6.13289,6.13041,9.38946,34.73782,34.85765,34.9115,34.87401,34.80778,34.72613,13.41749,11.48099,11.15321,10.84302,10.39936,9.76741,26.110341,26.667721,26.778113,26.922619,27.37888,721.27952,905.44484,1280.7115,1833.5029,42.547,281.588
255.2019,256.52263,251.14035,249.18738,246.21574,239.52501,4.19283,7.59403,10.20713,11.70699,13.54954,15.25786,0.51318,0.7245,0.80773,0.87171,0.99069,1.09241,1.76636,2.89278,3.4782,5.94801,5.02065,7.66436,35.01855,35.04369,34.98464,34.94227,34.89876,34.83877,16.438,12.16755,11.52917,11.1332,10.7986,10.39424,25.706373,26.642615,26.745774,26.864565,27.3137,809.3634,997.68559,1347.4452,1896.6252,32.1,258.046
232.32271,248.56855,244.38798,242.87236,241.22487,241.01213,0.48004,2.53758,7.67538,9.28761,11.85733,14.0434,0.17152,0.35578,0.66054,0.75841,0.93552,1.09566,0.78703,1.89754,2.78552,3.29228,3.55902,4.02954,35.64031,35.45245,35.22487,34.99512,34.855,34.76666,20.0299,14.26635,12.6643,11.4188,10.56153,9.93931,25.291945,26.531898,26.736227,26.891117,27.35609,801.12941,951.61395,1253.9997,1846.9692,27.731,160.907
271.56412,246.76192,231.15533,234.26891,239.26891,231.61554,8.9685,10.87211,12.95065,15.01417,17.30303,20.22474,0.71608,0.71516,0.74142,0.78218,0.92965,1.03659,2.1358,2.91337,4.97136,4.95599,6.07625,7.75435,34.48703,34.82266,34.89305,34.84176,34.74733,34.64477,12.38093,11.53768,11.11645,10.59711,9.75691,8.82083,26.219925,26.660234,26.830619,27.040009,27.45239,549.39184,769.60737,1191.3134,1752.2039,55.357,65.333
286.39613,281.99185,257.54186,255.67235,253.61707,241.18895,14.35999,16.20198,20.62245,22.6176,25.0918,27.30134,0.93214,1.04875,1.21318,1.34695,1.50669,1.64916,1.41878,1.38181,4.77293,8.47937,11.45383,15.94515,34.12874,34.36237,34.53189,34.50845,34.46581,34.3919,9.58995,9.38444,9.20509,8.58315,7.82957,6.68903,26.417242,26.677584,26.862002,27.16594,27.56208,414.16068,635.49394,1033.4102,1618.2071,51.994,74.641
290.86045,286.1706,262.40215,259.29777,247.78791,238.28024,15.68611,17.32794,21.87874,24.27842,26.68806,28.65632,1.14187,1.25058,1.46471,1.60938,1.76535,1.89148,1.47391,1.86616,6.70653,11.61947,16.7778,22.54947,34.03656,34.176,34.38721,34.36085,34.33743,34.29521,8.58863,8.3251,8.0956,7.31836,6.49056,5.56931,26.5369,26.718794,26.916147,27.250096,27.62998,321.87583,559.35599,935.51989,1507.3696,55.222,83.65
228.88534,247.17704,239.66883,240.75968,241.39074,241.00448,0.21442,1.53107,6.62451,8.96345,11.57633,13.79855,0.13741,0.28988,0.60181,0.73011,0.90343,1.05717,0.937,2.15443,2.746,3.39314,3.70579,4.23225,35.81477,35.55661,35.30852,35.04867,34.87856,34.78267,20.6328,15.05313,13.11678,11.74821,10.69072,9.9817,25.175313,26.421984,26.697981,26.885438,27.37669,799.88775,947.37061,1241.4008,1819.6025,29.32,136.34
263.55486,264.12177,259.64933,256.42351,247.55682,238.41255,4.74585,8.48362,11.46461,11.69037,15.08191,18.20064,0.49954,0.74849,0.87706,0.86789,1.03999,1.21537,0.68894,2.12324,3.10939,3.98444,4.90455,7.67143,34.87687,34.92165,34.91915,34.89114,34.84528,34.78201,14.33073,11.69114,11.10124,10.86801,10.54143,10.11565,26.057052,26.658782,26.794763,26.896754,27.32902,775.75266,970.99058,1322.3711,1878.8502,34.581,188.977
231.20106,248.13269,243.05071,242.27646,241.26055,241.02756,0.37976,2.23457,7.37593,9.20675,11.77749,13.96343,0.16053,0.33489,0.64363,0.75096,0.92627,1.08401,0.82213,1.95079,2.7708,3.32441,3.59989,4.07938,35.69307,35.48682,35.25037,35.00982,34.86065,34.77065,20.19212,14.48607,12.78678,11.50461,10.58879,9.94593,25.259451,26.503534,26.726691,26.88966,27.36216,800.72033,950.46262,1250.6111,1841.1316,28.207,158.081
227.8643,246.60648,238.04209,239.96858,241.45402,240.88955,0.16019,1.23427,6.25246,8.79499,11.4758,13.76306,0.1273,0.26965,0.5803,0.71714,0.8921,1.04658,1.00747,2.25548,2.75287,3.41598,3.76508,4.3544,35.86138,35.59133,35.34051,35.0703,34.88959,34.78777,20.92805,15.37681,13.28807,11.87383,10.75271,10.00358,25.120073,26.375066,26.680984,26.882704,27.3838,799.62334,943.60697,1230.9647,1806.1113,29.709,110.517
222.20618,237.49666,235.58015,242.61267,241.7069,240.79107,0.31855,0.68651,4.05621,8.77539,12.16799,14.73196,0.16897,0.30789,0.44667,0.69758,0.90544,1.06744,2.56378,2.05384,2.1248,2.69049,3.10003,4.32975,35.83385,35.60893,35.30572,34.99419,34.78017,34.67831,20.06802,16.37851,13.44773,11.2018,9.83894,9.20428,25.374362,26.21197,26.624187,26.933705,27.45869,721.3149,864.35976,1149.3865,1731.2313,40.895,74.629
221.65109,240.25894,234.72304,243.58775,242.9371,241.5491,0.32837,0.76048,4.08194,8.71738,11.42165,13.89925,0.18238,0.32461,0.42334,0.6822,0.8716,1.0289,2.73754,2.35723,2.43082,3.034,3.18086,4.51033,35.85369,35.58865,35.29253,34.99152,34.78148,34.68726,19.93765,16.05768,13.12869,11.20683,9.95043,9.31948,25.436671,26.261896,26.648361,26.927249,27.44255,737.23975,878.64652,1162.2586,1749.0006,42.205,94.422
221.7319,239.94664,234.80184,243.54078,242.81801,241.50083,0.3281,0.75368,4.07533,8.73907,11.50901,13.99141,0.18113,0.32364,0.42547,0.6824,0.87455,1.03313,2.71555,2.31704,2.39198,2.98862,3.15991,4.48399,35.85122,35.59027,35.29456,34.99183,34.78171,34.68641,19.94777,16.09839,13.16642,11.20487,9.93898,9.3074,25.431493,26.256784,26.646065,26.927849,27.44378,735.63971,877.23023,1161.0549,1747.9038,42.107,90.865
241.48586,242.1592,240.88868,245.25317,239.1325,235.2689,0.68012,3.49883,6.84751,9.13661,10.53132,12.19904,0.25905,0.54752,0.64043,0.77336,0.85895,1.02237,2.89356,4.2567,4.76274,5.05791,5.09552,6.1559,35.30411,35.21841,35.13279,35.08552,35.01153,34.9289,19.27293,13.49355,12.5681,12.08894,11.60416,11.04823,25.237322,26.532658,26.66037,26.808092,27.28518,849.88668,1000.0135,1349.932,1887.4453,19.637,111.458
